ActorID	FirstName	LastName	TotalSale
107	GINA	DEGENERES	3442.49
181	MATTHEW	CARREY	2742.19
198	MARY	KEITEL	2689.25
81	SCARLETT	DAMON	2655.28
102	WALTER	TORN	2620.62
144	ANGELA	WITHERSPOON	2614.46
58	CHRISTIAN	AKROYD	2611.49
60	HENRY	BERRY	2602.88
28	WOODY	HOFFMAN	2546.40
111	CAMERON	ZELLWEGER	2529.41
23	SANDRA	KILMER	2485.96
83	BEN	WILLIS	2459.49
90	SEAN	GUINESS	2424.00
185	MICHAEL	BOLGER	2401.48
150	JAYNE	NOLTE	2400.86
127	KEVIN	GARLAND	2393.36
140	WHOOPI	HURT	2366.72
65	ANGELA	HUDSON	2361.26
17	HELEN	VOIGHT	2358.45
21	KIRSTEN	PALTROW	2344.49
27	JULIA	MCQUEEN	2330.51
136	ED	MANSFIELD	2323.21
117	RENEE	TRACY	2321.56
13	UMA	WOOD	2314.64
197	REESE	WEST	2299.47
142	JADA	RYDER	2294.43
45	REESE	KILMER	2273.52
26	RIP	CRAWFORD	2271.88
108	WARREN	NOLTE	2271.37
139	EWAN	GOODING	2264.31
191	GREGORY	GOODING	2258.77
37	VAL	BOLGER	2253.95
94	KENNETH	TORN	2244.68
14	VIVIEN	BERGEN	2238.73
92	KIRSTEN	AKROYD	2235.34
42	TOM	MIRANDA	2227.05
147	FAY	WINSLET	2226.58
66	MARY	TANDY	2213.62
146	ALBERT	JOHANSSON	2202.78
151	GEOFFREY	HESTON	2188.38
101	SUSAN	DAVIS	2183.95
125	ALBERT	NOLTE	2183.75
158	VIVIEN	BASINGER	2182.73
41	JODIE	DEGENERES	2182.05
105	SIDNEY	CROWE	2177.42
192	JOHN	SUVARI	2172.41
74	MILLA	KEITEL	2148.70
106	GROUCHO	DUNST	2110.08
82	WOODY	JOLIE	2074.30
184	HUMPHREY	GARLAND	2073.84
119	WARREN	JACKMAN	2072.89
50	NATALIE	HOPKINS	2058.66
7	GRACE	MOSTEL	2058.21
187	RENEE	BALL	2058.02
168	WILL	WILSON	2054.19
59	DUSTIN	TAUTOU	2050.28
53	MENA	TEMPLE	2048.77
112	RUSSELL	BACALL	2046.59
5	JOHNNY	LOLLOBRIGIDA	2027.04
177	GENE	MCKELLEN	2023.48
84	JAMES	PITT	2016.84
48	FRANCES	DAY-LEWIS	2013.14
179	ED	GUINESS	1992.80
130	GRETA	KEITEL	1988.18
39	GOLDIE	BRODY	1984.45
64	RAY	JOHANSSON	1973.44
103	MATTHEW	LEIGH	1969.76
33	MILLA	PECK	1966.66
62	JAYNE	NEESON	1962.96
57	JUDE	CRUISE	1945.02
95	DARYL	WAHLBERG	1936.34
143	RIVER	DEAN	1936.25
188	ROCK	DUKAKIS	1929.31
145	KIM	ALLEN	1920.15
196	BELA	WALKEN	1917.50
29	ALEC	WAYNE	1917.11
